size,path,unused,tutorial
914,d3/d3-geo/path/context.js,false,false
1690,d3/d3-geo/path/index.js,false,false
1149,d3/d3-geo/path/string.js,false,false
139,d3/d3-geo/pointEqual.js,false,false
2491,d3/d3-geo/polygonContains.js,false,false
235,d3/d3-geo/projection/albers.js,false,false
3986,d3/d3-geo/projection/albersUsa.js,false,false
502,d3/d3-geo/projection/azimuthal.js,false,false
447,d3/d3-geo/projection/azimuthalEqualArea.js,false,false
443,d3/d3-geo/projection/azimuthalEquidistant.js,false,false
402,d3/d3-geo/projection/conic.js,false,false
1017,d3/d3-geo/projection/conicConformal.js,false,false
871,d3/d3-geo/projection/conicEqualArea.js,false,false
771,d3/d3-geo/projection/conicEquidistant.js,false,false
314,d3/d3-geo/projection/cylindricalEqualArea.js,false,false
253,d3/d3-geo/projection/equirectangular.js,false,false
910,d3/d3-geo/projection/fit.js,false,false
387,d3/d3-geo/projection/gnomonic.js,false,false
1922,d3/d3-geo/projection/identity.js,false,false
3752,d3/d3-geo/projection/index.js,false,false
1119,d3/d3-geo/projection/mercator.js,false,false
376,d3/d3-geo/projection/orthographic.js,false,false
3275,d3/d3-geo/projection/resample.js,false,false
436,d3/d3-geo/projection/stereographic.js,false,false
762,d3/d3-geo/projection/transverseMercator.js,false,false
2509,d3/d3-geo/rotation.js,false,false
2305,d3/d3-geo/stream.js,false,false
701,d3/d3-geo/transform.js,false,false
166,d3/d3-hierarchy/accessors.js,false,false
2093,d3/d3-hierarchy/cluster.js,false,false
120,d3/d3-hierarchy/constant.js,false,false
138,d3/d3-hierarchy/hierarchy/ancestors.js,false,false
121,d3/d3-hierarchy/hierarchy/descendants.js,false,false
381,d3/d3-hierarchy/hierarchy/each.js,false,false
353,d3/d3-hierarchy/hierarchy/eachAfter.js,false,false
282,d3/d3-hierarchy/hierarchy/eachBefore.js,false,false
1819,d3/d3-hierarchy/hierarchy/index.js,false,false
164,d3/d3-hierarchy/hierarchy/leaves.js,false,false
246,d3/d3-hierarchy/hierarchy/links.js,false,false
606,d3/d3-hierarchy/hierarchy/path.js,false,false
151,d3/d3-hierarchy/hierarchy/sort.js,false,false
264,d3/d3-hierarchy/hierarchy/sum.js,false,false
2452,d3/d3-hierarchy/pack/enclose.js,false,false
1917,d3/d3-hierarchy/pack/index.js,false,false
389,d3/d3-hierarchy/pack/shuffle.js,false,false
3497,d3/d3-hierarchy/pack/siblings.js,false,false
1266,d3/d3-hierarchy/partition.js,false,false
1934,d3/d3-hierarchy/stratify.js,false,false
7060,d3/d3-hierarchy/tree.js,false,false
1184,d3/d3-hierarchy/treemap/binary.js,false,false
309,d3/d3-hierarchy/treemap/dice.js,false,false
2810,d3/d3-hierarchy/treemap/index.js,false,false
1029,d3/d3-hierarchy/treemap/resquarify.js,false,false
166,d3/d3-hierarchy/treemap/round.js,false,false
309,d3/d3-hierarchy/treemap/slice.js,false,false
170,d3/d3-hierarchy/treemap/sliceDice.js,false,false
1868,d3/d3-hierarchy/treemap/squarify.js,false,false
372,d3/d3-interpolate/array.js,false,false
600,d3/d3-interpolate/basis.js,false,false
360,d3/d3-interpolate/basisClosed.js,false,false
697,d3/d3-interpolate/color.js,false,false
72,d3/d3-interpolate/constant.js,false,false
760,d3/d3-interpolate/cubehelix.js,false,false
134,d3/d3-interpolate/date.js,false,false
547,d3/d3-interpolate/hcl.js,false,false
547,d3/d3-interpolate/hsl.js,false,false
447,d3/d3-interpolate/lab.js,false,false
100,d3/d3-interpolate/number.js,false,false
390,d3/d3-interpolate/object.js,false,false
163,d3/d3-interpolate/quantize.js,false,false
1277,d3/d3-interpolate/rgb.js,false,false
112,d3/d3-interpolate/round.js,false,false
1758,d3/d3-interpolate/string.js,false,false
672,d3/d3-interpolate/transform/decompose.js,false,false
2064,d3/d3-interpolate/transform/index.js,false,false
980,d3/d3-interpolate/transform/parse.js,false,false
598,d3/d3-interpolate/value.js,false,false
1387,d3/d3-interpolate/zoom.js,false,false
4089,d3/d3-path/path.js,false,false
243,d3/d3-polygon/area.js,false,false
346,d3/d3-polygon/centroid.js,false,false
411,d3/d3-polygon/contains.js,false,false
402,d3/d3-polygon/cross.js,false,false
1710,d3/d3-polygon/hull.js,false,false
375,d3/d3-polygon/length.js,false,false
2441,d3/d3-quadtree/add.js,false,false
1667,d3/d3-quadtree/cover.js,false,false
170,d3/d3-quadtree/data.js,false,false
206,d3/d3-quadtree/extent.js,false,false
1696,d3/d3-quadtree/find.js,false,false
134,d3/d3-quadtree/quad.js,false,false
2077,d3/d3-quadtree/quadtree.js,false,false
1898,d3/d3-quadtree/remove.js,false,false
51,d3/d3-quadtree/root.js,false,false
155,d3/d3-quadtree/size.js,false,false
695,d3/d3-quadtree/visit.js,false,false
773,d3/d3-quadtree/visitAfter.js,false,false
138,d3/d3-quadtree/x.js,false,false
138,d3/d3-quadtree/y.js,false,false
29,d3/d3-queue/array.js,false,false
2870,d3/d3-queue/queue.js,false,false
168,d3/d3-random/bates.js,false,false
113,d3/d3-random/exponential.js,false,false
137,d3/d3-random/irwinHall.js,false,false
178,d3/d3-random/logNormal.js,false,false
503,d3/d3-random/normal.js,false,false
236,d3/d3-random/uniform.js,false,false
101,d3/d3-request/csv.js,false,false
517,d3/d3-request/dsv.js,false,false
157,d3/d3-request/html.js,false,false
127,d3/d3-request/json.js,false,false
4593,d3/d3-request/request.js,false,false
109,d3/d3-request/text.js,false,false
118,d3/d3-request/tsv.js,false,false
370,d3/d3-request/type.js,false,false
174,d3/d3-request/xml.js,false,false
90,d3/d3-scale/array.js,false,false
2637,d3/d3-scale/band.js,false,false
119,d3/d3-scale/category10.js,false,false
179,d3/d3-scale/category20.js,false,false
179,d3/d3-scale/category20b.js,false,false
179,d3/d3-scale/category20c.js,false,false
101,d3/d3-scale/colors.js,false,false
72,d3/d3-scale/constant.js,false,false
3328,d3/d3-scale/continuous.js,false,false
188,d3/d3-scale/cubehelix.js,false,false
463,d3/d3-scale/identity.js,false,false
1206,d3/d3-scale/linear.js,false,false
3273,d3/d3-scale/log.js,false,false
340,d3/d3-scale/nice.js,false,false
44,d3/d3-scale/number.js,false,false
1116,d3/d3-scale/ordinal.js,false,false
1000,d3/d3-scale/pow.js,false,false
1280,d3/d3-scale/quantile.js,false,false
1066,d3/d3-scale/quantize.js,false,false
536,d3/d3-scale/rainbow.js,false,false
717,d3/d3-scale/sequential.js,false,false
802,d3/d3-scale/threshold.js,false,false
1203,d3/d3-scale/tickFormat.js,false,false
4565,d3/d3-scale/time.js,false,false
379,d3/d3-scale/utcTime.js,false,false
6471,d3/d3-scale/viridis.js,false,false
72,d3/d3-selection/constant.js,false,false
662,d3/d3-selection/creator.js,false,false
536,d3/d3-selection/local.js,false,false
533,d3/d3-selection/matcher.js,false,false
224,d3/d3-selection/mouse.js,false,false
303,d3/d3-selection/namespace.js,false,false
254,d3/d3-selection/namespaces.js,false,false
448,d3/d3-selection/point.js,false,false
259,d3/d3-selection/select.js,false,false
282,d3/d3-selection/selectAll.js,false,false
235,d3/d3-selection/selection/append.js,false,false
1460,d3/d3-selection/selection/attr.js,false,false
134,d3/d3-selection/selection/call.js,false,false
1740,d3/d3-selection/selection/classed.js,false,false
3597,d3/d3-selection/selection/data.js,false,false
